Who delivered ENGGEN403 Lecture 13?	Peter Rachor, who also taught ENGGEN 303.
What are you told to do if you disagree with how teammates framed the problem?	Run from what you are given - there is not enough time to relitigate it, and you must take as a given that teammates have done good work.
What is a lockdown point?	An agreed date or time after which a piece of work is not changed any further, so the next stage can start from a fixed input.
Why are lockdown points necessary?	Because the work is sequential and there is very little time, so handoffs need a fixed moment to close.
Name the five points of the discovery and understanding slide.	Understanding the problem and its systems is vital to problem statements; remember the 303 basics; it is still double diamonds at grand scale; do not overcomplicate or mix the problem and solution spaces; and decide who will understand the problem and how it will be shared.
What is the named over-complication risk in discovery?	Blurring the problem and solution spaces - people start merging things instead of carving out the problem space before considering solutions.
What must a team work out about ideation?	Which part of the team is actually involved in the solution diamond - it may not be everyone.
Is systems research hypothesis oriented?	No - scholarly research is hypothesis oriented; systems research is forecast oriented.
What resources does systems research draw on, compared with scholarly research?	Published literature from the past plus projections of future trends, whereas scholarly research uses published literature alone.
What are the findings of systems research used for?	Decision making and setting strategies, rather than advances in the field and future research.
How is systems research shared?	Internally and with the client, rather than through publications and conference presentations.
What standard applies to rigour in systems research?	The information and analysis must be valid, rather than the methodology being validated scientifically.
Define systems research.	A systematic approach to collect data and analyse the information to uncover the interconnected aspects of wicked problems, manage stakeholders with conflicting requirements, and explore existing and potential solutions - ultimately to arrive at informed recommendations.
Give four questions systems research actually asks.	How is this regulated by a government department, what industries are impacted, how do those industries operate, how many jobs do they have, and what exports do they have.
Give the one-line contrast between systems and scholarly research.	Systems research asks how the world is arranged; scholarly research asks what is true.
What is the policy on AI tools for the Team Project?	They may be used but must be disclosed, within the policies outlined on Canvas.
What is a cluster map for?	Identifying the key components that make up a system and all the relationships inherent within it - the key part being drawing the connections between them.
What is an interconnected circle map for?	Deep exploration of relationships and cause and effect in system dynamics, within a refined area identified through the cluster map.
How do cluster maps and circle maps relate?	The cluster map is divergent, covering the whole system; the circle map is convergent, going deep on one region.
What does the lecturer say about how systems maps should look?	The messier the better at the beginning - a big piece of paper on the wall with everyone contributing; a clean version can be recreated for the deliverable or put in an appendix.
What does the non-standard exemplar diagram demonstrate?	That a team integrated mind mapping with causal loops in a way that was not standard, and did extremely well - so the tools should not be treated as absolutes.
What is mind mapping recommended for?	As a starting point for the group's work, because it is a good way to understand a problem.
Name the five steps of options assessment.	Create a long list including the crazy options; group similar options and evaluate with CSF and DFV; consider the assessment scale you will use; evolve to a short list; and consider option packages.
What are options evaluated against?	The DFV criteria, the critical success factors, and the problem statements.
What is a package of solutions?	A combination of parts of separate interventions, each addressing a different problem statement, brought together as one recommendation.
How does a package differ from a 303 solution?	In 303 you choose one path forward and run with it; a systems project may need several partial interventions combined.
Why do robust systems resist change?	Because of resilience, self-organisation and hierarchy.
What is the mistake people make when calling a system broken?	Assuming it is broken for everyone - a persistent system has accumulated over time and works for at least some of its stakeholders.
Give the hospital example of a system that works for someone.	Emergency departments are consistently over capacity, but the system has built up over time and some stakeholder groups are happy with the outcomes - the patients not among them.
Which L9 canvas question does why-systems-work answer?	Does anyone benefit from the problem as a problem.
Why does every systems challenge have a policy element?	Because these are problems that impact government as well as business and society, so the recommendation must navigate the machinery of government.
What made the Harbour Bridge decision an example of a wicked problem?	The transport minister described it as a 50 to 100 year decision and the largest infrastructure investment in the country's history, affecting the economy, commuting and national values.
What sections does the Team Project deliverable contain?	An executive summary, the strategic case, the economic case, an appendix, and references.
What is in the strategic case of the Team Project deliverable?	Project background, problem space, stakeholder analysis and requirements, and key assumptions.
What is in the economic case of the Team Project deliverable?	Long-list option assessment, recommendations of the short-listed options, and a summary of the proposed solution.
Which business cases does the Team Project deliverable NOT include?	The financial and management cases - the Team Project covers only the strategic and economic cases.
What belongs in the Team Project appendix?	The requirements of key stakeholders by category, and the detailed assessment of long-list options.
Roughly how long was the exemplar Team Project deliverable?	About twelve pages.
What was the America's Cup team project brief?	How to bring the America's Cup back to New Zealand, after it was defended in Spain and then Italy because it did not make economic sense to defend it here.
What was last year's team project topic?	Addressing the invasion of exotic caulerpa.
