What is the role of a business case in a decision?	It informs the decision-maker; it does not make the decision.
What is the critics' argument against cancelling a project like Auckland Light Rail?	Cancelling creates disbenefits such as lost productivity, which were not fully accounted for.
Which ferry project had its detailed business case cancelled over ballooning costs?	iReX.
What is a programme business case?	A business case covering a multi-decade programme containing many systems-level projects.
Give an example of a programme business case.	Auckland's rapid transport plan.
Which projects sit inside Auckland's rapid transport programme?	City Rail Link, Western Ring Route, Eastern Busway, Northern Busway, Airport-to-Botany, and the cancelled Auckland Light Rail.
What typically happens to a cancelled project inside a programme?	It gets divvied up - pieces are carved out and funded separately.
Which Wellington programme was cancelled and is being split into smaller projects?	Let's Get Wellington Moving.
What must your business case be aligned with?	Government objectives, existing development plans, and existing programme business cases.
What goes inside the strategic case?	Project background, problem statements, stakeholder analysis, requirements, critical success factors, and key constraints and assumptions.
How many problem statements should a systems business case have?	A suite - at least two, potentially more.
What goes inside the economic case?	The long list of options, narrowed by DFV, CSFs and problem alignment, into a shortlist of packages.
What goes inside the financial case in ENGGEN403?	A social CBA (economic and social impact assessment) of at least two shortlisted packages.
On how many shortlisted options must you run a social CBA?	At least two.
What goes inside the management case?	A high-level project plan for rollout.
Where do critical success factors come from?	From the necessary requirements identified through stakeholder analysis.
What three questions must the project background answer?	What is the problem or opportunity, why does it matter (impact), and what is the current status quo and how did we get there.
How does the project background differ from the problem exploration?	The background is high-level context; the problem exploration is narrow and convergent on the problem statements.
What made the plastics team's project background good?	It was evidence-based with citations, gave broad context and how we got here, and stayed high level in about three-quarters of a page.
Where does divergent thinking happen in a business case?	Twice - generating problem areas, and generating the long list of options.
What is the first narrowing step applied to a long list?	Checking each option's alignment with the problem statements.
Why do teams generate options that fail problem-statement alignment?	They generate ideas aimed at other parts of the causal loop diagram rather than the stated problems.
How many options reached the plastics report's long list?	Eleven, with roughly twenty more generated and cut before writing.
What were the plastics team's two problem statements about?	Plastic waste management infrastructure, and low-grade plastic types.
What is the assumption-revisiting trick during ideation?	Write out the assumptions behind your problem statements and ask how valid they are, whether they add, kill or improve options, and what success would look like.
Why is causal loop analysis so important?	It sets the stage for the entire business case - rushing it forces teams back to revisit assumptions and problem statements mid-week.
What does desirability mean at systems level?	Solving the right problem for the right people, with explicit trade-offs between stakeholder groups on equity, well-being and environmental outcomes, and unintended consequences.
What does feasibility mean at systems level?	Whether the solution can realistically be implemented in New Zealand's context.
Name four feasibility factors beyond whether the technology exists.	Regulations, the government's current political values, existing infrastructure and systems, and dependencies between interacting systems.
What does viability mean at systems level?	Whether monetised benefits outweigh costs over time, including environmental impacts and how options work together.
Why can't a single-use plastic ban be implemented overnight?	Businesses need suitable alternatives and a transition period, or they go out of business.
What legislative question does a plastics ban raise?	What legislation is required, and can it actually be done legislatively.
Why do increased supplier costs matter so much in New Zealand?	New Zealand's economy is made up of small and medium-sized enterprises.
Which stakeholders generated the CSFs in the plastics case?	Ministry for the Environment, MFAT, plastics regulators and producers, and iwi Maori representatives.
What did MFAT contribute to the plastics CSFs?	Awareness of what is being done elsewhere in the world, and whether NZ could lead on plastics.
Why must plastics regulators and producers buy in?	Without their buy-in the solution is not viable at all.
What value did iwi Maori representatives bring to the plastics CSFs?	The environment held at a higher status, and kaitiakitanga (guardianship) held in high regard.
What question should you ask after listing your stakeholders?	Who are the other key stakeholders - is anyone missing?
Why are shortlisted options packaged rather than listed singly?	Because one option is unlikely to satisfy all your CSFs and problem statements.
What are options packages grouped by?	Scope and suitability together, usually ordered by implementation cost.
Name the common package labels.	Do nothing, do minimum, do medium, do maximum.
What three interventions made up the plastics do-medium package?	A tax on plastics, a container or plastics return scheme, and a recycling subsidy.
Why was the plastics do-minimum package rejected despite a positive NPV of $34 m and a BCR of 1.5?	Its benefits relied on consumer behaviour and it left overconsumption, low recovery rates and virgin-plastic reliance unaddressed.
Why was the plastics do-maximum package rejected?	Extremely high upfront and ongoing costs burdening the budget, high taxes on business, and significant implementation risk if costs moved.
Why was do-medium chosen for plastics?	It balanced minimum and maximum - a lot of benefits though not the most, at a cost that was affordable, giving the best value for money.
Does a positive NPV and a BCR above 1 mean an option should be chosen?	No - financial metrics are a filter, not the decision.
What is wrong with choosing an option because it scored 17 against another that scored 16?	You do not have the certainty to justify a one-point difference; the score is not the reasoning.
What matters about a colour-coded options matrix?	The underlying reasons behind the coding, not the coding itself.
What is the one-line rule for options assessment at systems level?	No right answer, only trade-offs.
What are the two things every options-assessment section must explain?	Why options were carried forward, and why options were excluded.
What is wrong with saying an option was carried forward because it met the DFV requirements and CSFs?	It does not say how or why it met them - the reasoning is missing.
What happens to a report that silently drops options?	The reader cannot follow the process and the report lacks consistency.
Whose reasoning must the options justification be?	Yours - it is your synthesis, drawing on your skills, perspectives and rationale.
What does it mean that a business case is a cross-section in time?	It uses the assumptions, information and data available at that moment, and the world then changes.
Name three events that can invalidate a business case's assumptions.	A fuel crisis, a pandemic, or a change of government.
Name five limitations of business cases.	Cross-section in time; hard to capture every social and environmental impact; assumptions may not hold; unintended consequences overlooked; a complex system simplified to one decision point.
Why are multi-decade projects most fragile?	Time value of money - small changes in assumptions compound into large changes in modelled costs and benefits.
What assumptions were contested in the Waikato medical school business case?	How many doctors it would produce, where those doctors would work, and the capacity of existing medical schools.
When did Let's Get Wellington Moving start and what was delivered?	It started in 2015 and only pre-works were ever delivered.
Name four causes of failure in Let's Get Wellington Moving.	Long delivery times, changing government priorities, stakeholder disagreement, and governance complexity between local government, agencies and central government.
