Define GDP.	The total value of all final goods and services produced within a country over a specific period.
What is revenue per employee a proxy for?	High productivity - high-value firms show high revenue per employee.
What is Rocket Lab's revenue per employee, and what is the catch?	$886,354 in 2025 - but Rocket Lab is based in the United States, not New Zealand.
Name the six New Zealand productivity challenges.	Small domestic market limiting scale and competition; many small businesses reducing automation, R&D and exporting; geographic isolation raising transport costs; investment favouring residential property; declining manufacturing; and agriculture facing environmental and market pressures.
Why is real estate investment less productive than deep tech?	Because buying and selling houses just transfers wealth between buyers and sellers rather than creating new value.
What is a capital gains tax?	A tax on the increase in the value of assets.
What is unusual about New Zealand and capital gains tax?	New Zealand is one of the only countries in the world without one.
What is knowledge spillover?	Technology diffusion and transfer - skills learned in one high-value industry transferring into others.
Why do agriculture and real estate produce little knowledge spillover?	They are relatively segmented industries with fewer transferable capabilities.
Describe the productivity cycle New Zealand is caught in.	Low-value industries mean low productivity, which means less tax revenue, which means less government money to invest, which means less funding for startups and R&D, which keeps us in low-value industries.
How does government debt accumulate?	Budget deficits accumulate into debt over time.
What can government borrowing usefully fund?	Long-term investments such as infrastructure, schools and hospitals.
What are the two costs of higher government debt?	Increased future interest costs, and reduced fiscal flexibility.
Why is government debt a burden on future generations?	Because the interest payments must be made in the future, leaving less money for everything else.
What were New Zealand's government revenues in the 25/26 budget?	About $145 billion.
What were New Zealand's government expenditures in the 25/26 budget?	About $155 billion.
How is the gap between revenue and expenditure funded?	Through borrowing.
What are the largest sources of government revenue?	Individual PAYE, then GST, then company tax.
What are the largest areas of government expenditure?	NZ Super, social support, health and education.
How much new spending was in the 25/26 budget?	About $2 billion.
What scale should a systems project recommendation be measured against?	The roughly $2 billion of new spending, not the $155 billion total budget.
Name the six limitations of GDP as a system goal.	It lumps together goods and bads; it does not reflect distributional equity; it measures effort not achievement; it does not capture stocks related to wellbeing; it drives behaviour by setting a short-term financial goal; and it ignores the inevitable limit to economic growth.
How do the Christchurch earthquakes illustrate a limitation of GDP?	The disaster upended lives, but GDP looked excellent the following year because of all the rebuilding spending.
What does it mean that GDP measures effort not achievement?	Spraying money around raises GDP without asking what was achieved - you need productivity to judge spend quality.
Explain the shoes example.	Buying ten pairs of shoes adds to GDP; owning fifty pairs does not, and giving them away does not - so GDP captures flows of spending, not stocks that relate to wellbeing.
Explain the two 70-year-olds example.	Spending the same money on a person with nothing and a person with plenty looks identical in GDP, though only one of them needed clothes, food, warmth and healthcare.
Name three stocks invisible to GDP.	Refurbished hospitals, repaired schools, and mended potholes.
Who wrote Doughnut Economics?	Kate Raworth, a professor at Oxford.
What does the hole in the middle of the doughnut represent?	A space of deprivation or shortfall - people lacking food, education, electricity, income or decent housing.
What does the doughnut itself represent?	The safe and just space for humanity, between the social foundation and the ecological ceiling.
What lies beyond the outer crust of the doughnut?	Ecological overshoot - climate change, biodiversity loss, ozone depletion and chemical pollution.
State the 21st-century challenge in Raworth's words.	To get everybody out of poverty while coming back inside the ecological ceiling at the same time.
Trace the chain from wealth inequity to fiscal cost.	Inequity in wealth brings inequity in health; more people in poverty means more social problems, which pressures both the health and justice systems, and those costs fall on everyone through the tax system.
What is the social cohesion argument against inequity?	As inequity rises, social cohesion is challenged and it becomes harder for leaders to keep the country behind them.
What examples of failing social cohesion were given?	Brawls on K Road, the parliamentary protest against vaccine mandates, and Britain having its seventh prime minister in a few years.
What did Robert F. Kennedy say about GDP?	That it does not allow for the health of our children, the quality of their education, or the joy of their play - it measures everything except that which makes life worthwhile.
What is the counterargument to RFK's critique of GDP?	That it is easy to worry about those things once you have enough money to buy all the basics.
Where did New Zealand rank on the happiness index shown?	Twelfth.
What caveat applies to happiness indices?	Happiness correlates highly with GDP, and all such measures have a cultural component.
Name three international wellbeing frameworks mentioned.	The OECD Better Life Index, UK National Wellbeing, and Wellbeing in Germany.
What is the Living Standards Framework?	Treasury's set of indicators to inform policy advice on wellbeing priorities, capturing hard-to-measure concepts.
Since when has the LSF been under development?	Since 2011.
What is the LSF based on?	The OECD wellbeing approach, tailored to New Zealand and informed by public feedback from surveys and consultation.
Name the three levels of the LSF.	Our individual and collective wellbeing, our institutions and governance, and the wealth of Aotearoa New Zealand.
How many items are in each LSF level?	12 domains of wellbeing, 6 institutional spheres, and 4 capitals.
Name the four cross-cutting dimensions of the LSF.	Distribution, resilience, productivity and sustainability.
What happened to wellbeing in the New Zealand budget in 2019?	New Zealand ran the world's first wellbeing budget, focused on poverty and mental health.
What happened to wellbeing provisions in 2025?	They were stripped from the Public Finance Act.
Did stripping the wellbeing provisions change practice?	Largely not - it was more a difference in rhetoric than practice, and the four capitals are still always considered at policy level.
Name Treasury's three tools for agencies.	The Living Standards Framework, CBAx for cost benefit analysis monetisation, and the Better Business Case framework.
How are the four capitals described?	As the assets that generate wellbeing now and into the future.
What does looking after intergenerational wellbeing mean?	Maintaining, nourishing and growing the four capitals.
Define natural capital.	All aspects of the natural environment that support life and human activity - land, soil, water, plants and animals, minerals and energy resources.
Define human capital.	The capabilities and capacities of people to engage in work, study, recreation and social activities - skills, knowledge, physical and mental health.
Define social capital.	The norms, rules and institutions that influence how people live and work together and experience belonging - trust, reciprocity, the rule of law, cultural and community identity, traditions and customs, common values and interests.
Define financial and physical capital.	Financial and human-made physical assets supporting material living conditions - factories, equipment, houses, roads, buildings, hospitals and financial securities.
Where are teams advised to concentrate for the non-financial analysis?	On the four capitals.
Who decides how the four capitals are weighted?	Your team - it is a values choice.
What sits at the centre of He Ara Waiora, and why?	Wairua, spirit - it is the foundation or source of wellbeing, reflecting values, beliefs and practices essential to Maori conceptions of health and wellbeing.
What are the three ends in He Ara Waiora?	Wairua, Te Taiao the natural world, and Te Ira Tangata the human domain.
What does He Ara Waiora say about Te Taiao?	Its wellbeing is paramount and inextricable from human wellbeing, with responsibilities and obligations to sustain it.
Name the four mana concepts under which tangata and kainga thrive.	Mana tuku iho, identity and belonging; mana tautuutu, participation and rights and obligations; mana aheinga, capability to decide and realise aspirations; and mana whanake, the power to grow sustainable intergenerational prosperity.
Name the five means principles of He Ara Waiora.	Kotahitanga, tikanga, whanaungatanga, manaakitanga and tiakitanga.
What does kotahitanga mean in He Ara Waiora?	Working in an aligned, co-ordinated way across the system and in partnership with business, communities, iwi and whanau.
What does tikanga mean in He Ara Waiora?	That decisions must be made in accordance with the right processes, including working in partnership with the Treaty partner.
What does manaakitanga mean in He Ara Waiora?	Maintaining a focus on improved wellbeing and enhanced mana for all New Zealanders, using distributional analysis to identify and address inequities.
What does tiakitanga mean in He Ara Waiora?	Guardianship and stewardship - of the environment or other processes and systems supporting wellbeing.
What does He Ara Waiora add that Western frameworks lack?	Intergenerational prosperity, and a hierarchy among the capitals rather than four equal boxes.
Why is He Ara Waiora not recommended for the assignment?	It is less well developed, with fewer exemplars and no instructions on government websites.
What is multi-criteria analysis used for?	Comparing both quantitative and qualitative pieces of information, mainly in options assessment.
Name three scoring framework options for an MCA.	Does not meet / partially meets / meets / exceeds; ranked options 1 to 5 exclusive; and weighted scoring 1 to 5 inclusive with high, medium and low.
What is the NZTA MCA score for a large positive impact?	Plus 3 - major positive impacts giving substantial and long-term improvements.
What is the NZTA MCA score for a slight positive impact?	Plus 1 - minimal positive impact, possibly only short-term, and possibly confined to a limited area.
What does a neutral score of 0 mean in the NZTA MCA scale?	No discernible or predicted positive or negative impact - the counterfactual could be the do-minimum or do-nothing.
What distinguishes a slight negative from a moderate negative in the NZTA scale?	A slight negative is definitely able to be managed or mitigated; a moderate negative is highly likely to respond to management actions.
What defines a large negative impact in the NZTA scale?	Serious, long-term and possibly irreversible damage, requiring major rescope of concept, design, location and justification, or major commitment to extensive management strategies.
On what three qualities do the NZTA MCA tiers actually separate?	Duration, reversibility, and whether the impact can be mitigated.
What is the rule about MCA numbers?	The numbers are not important - it is the justification behind the numbers that matters.
What happens if you choose an option scoring 17 over one scoring 16 without explaining why?	A big fat zero through your discussion.
Give the plastics do-maximum natural capital pros.	Reduced plastic to landfill, lower greenhouse gas emissions from waste decomposition, and reduced fossil fuel extraction from lower virgin plastic demand.
Give the plastics do-maximum natural capital cons.	Recycling and composting facilities can have high energy and water usage, and contamination from improper waste management.
Why is the natural-capital cell of the plastics table important?	Because an intervention whose entire purpose is environmental still has an environmental cost - there is always an impact both ways across all four capitals.
Give a social capital con of the plastics do-maximum package.	Risk of public confusion because bioplastic is compostable rather than recyclable, and public scepticism towards new initiatives.
Give a human capital con of the plastics do-maximum package.	Cost of living increases from tax pass-through, upskilling required for existing workers, and health risks from poorly managed compostable plastics increasing microplastics in the food chain.
What are students historically weak at in four capitals analysis?	Describing the negative impacts and the trade-offs - they are good at the positives.
What made the climate change adaptation MCA a good exemplar?	Each cell listed the specific positive and negative impacts, signed with plus and minus, and it added He Ara Waiora as a fourth row.
What options were compared in the climate change adaptation project?	Flooding barriers, river modification, a dry dam, and do nothing.
What was the health systems project question?	What new innovations can be made at the systems level to improve access and waiting time issues in the New Zealand health system over the next 10 to 15 years.
What were the shortlisted options in the health systems project?	Mobile clinics plus uptake of foreign medical staff and training; digitisation; and do nothing.
What is the drawback of mobile clinics for wait times?	Variable demand and difficulty of utilisation - trucks can only go to certain places and be accessed by certain people.
What does the lecture say about transformative change?	Transformative change addressing long problems is hard to achieve in a messy short-term democratic system prone to policy U-turns.
What is New Zealand's long-term economic challenge?	Improving productivity through higher-value industries and innovation.
Who delivered ENGGEN403 Lecture 6?	Marc Lewis and Juliet Gerrard.
